STATE_CODE,cluster,n_workers,avg_wage,pct_female,posting_count,median_adv_salary
TX,0,17531,167176.62752972962,0.2940519976990912,8067,90000.0
TX,1,60077,43083.93907359016,0.48340119152563815,8067,90000.0
TX,2,46513,49592.763398134826,0.5083634592649975,8067,90000.0
TX,3,1681,601000.0,0.20154723389966228,8067,90000.0
UT,0,2236,158450.72192038977,0.21651857428515256,639,80101.0
UT,1,9149,42212.63158856634,0.46908466778309504,639,80101.0
UT,2,5102,52641.76501012436,0.4957419052225789,639,80101.0
UT,3,201,551000.0,0.13150817555938038,639,80101.0
VA,0,8103,167406.46150916375,0.36695392891009476,3636,94500.0
VA,1,17929,45913.41234477774,0.49579003177761544,3636,94500.0
VA,2,14373,52680.71436705008,0.5283755552992667,3636,94500.0
VA,3,564,595225.801980198,0.21706930693069307,3636,94500.0
VT,0,309,156161.68040128986,0.3510987698554879,227,90000.0
VT,1,1237,46378.35065671661,0.4965746222525284,227,90000.0
VT,2,1463,51866.7705109262,0.5229100241076289,227,90000.0
VT,3,35,587000.0,0.14571290944123313,227,90000.0
WA,0,7382,174223.63493110024,0.34809359534485446,1624,91992.0
WA,1,16400,49625.64817929577,0.49215140992808537,1624,91992.0
WA,2,11901,55528.08008525464,0.5164860976809056,1624,91992.0
WA,3,734,568725.7472319431,0.21368538810165796,1624,91992.0
WI,0,2481,150562.77937495965,0.32210200105578574,1050,84000.0
WI,1,12871,45105.92775737954,0.49604080728342903,1050,84000.0
WI,2,12229,49970.94694119296,0.5074373306374577,1050,84000.0
WI,3,295,494000.0,0.22155169646582992,1050,84000.0
WV,0,507,141524.30900070872,0.27739192062367113,159,78100.0
WV,1,3495,40400.52773742045,0.4877146043504062,159,78100.0
WV,2,3037,47684.41448507331,0.5046988164635223,159,78100.0
WV,3,94,426000.0,0.2598065848093013,159,78100.0
WY,0,225,144610.35782275922,0.2396752010567621,108,81494.0
WY,1,1353,41643.35049574073,0.47258825661714854,108,81494.0
WY,2,1066,50503.39904069944,0.5029244500212503,108,81494.0
WY,3,27,470000.0,0.30205382436260625,108,81494.0
